time,dB
51.857,53.83
51.959,56.03
52.059,56.86
52.161,57.41
52.262,55.72
52.363,56.79
52.464,57.91
52.565,57.69
52.666,57.82
52.766,59.17
52.868,57.22
52.969,55.63
53.07,55.03
53.171,55.86
53.273,54.42
53.374,54.19
53.476,85.03
53.578,80.91
53.679,81.84
53.781,75.87
53.884,74.82
53.985,82.69
54.086,76.15
54.187,71.94
54.288,65.33
54.39,59.62
54.492,55.88
54.593,55.2
54.696,53.25
54.798,55.11
54.899,54.56
55.001,54.99
55.102,54.74
55.204,54.8
55.306,54.23
55.408,54.36
55.51,54.82
55.612,53.96
55.714,52.94
55.816,54.02
55.918,53.71
56.021,54.25
56.122,53.5
56.224,54.45
56.326,56.57
56.427,55.75
56.528,55.05
56.629,53.7
56.73,53.78
56.831,54.24
56.932,53.68
57.034,53.24
57.136,59.76
57.238,58.7
57.34,57.63
57.443,56.76
57.544,55.12
57.645,54.6
57.746,55.16
57.848,54.68
57.95,57.26
58.054,57.44
58.155,57.36
58.256,58.47
58.357,57.3
58.459,58.12
58.561,58.24
58.663,59.71
58.765,59.07
58.867,59.66
58.969,59.67
59.071,60.23
59.172,62.56
59.274,63.21
59.375,64.38
59.477,64.4
59.579,63.63
59.681,63.75
59.783,62.64
59.885,62.25
59.986,62.97
60.088,63.26
60.188,62.08
60.292,60.5
60.394,61.5
60.496,62.24
60.598,61.6
60.699,60.55
60.801,60.72
60.903,86.83
61.004,85.02
61.107,88.61
61.21,90.11
61.311,87.29
61.414,82.73
61.515,79.7
61.617,72.99
61.72,84.1
61.823,78.61
61.926,72.25
62.028,67.65
62.129,64.02
62.231,61.62
62.332,60.39
62.434,58.81
62.536,81.53
62.639,74.67
62.74,68.96
62.842,65.34
62.944,62.18
63.045,60.73
63.145,60.99
63.247,60.46
63.348,59.73
63.45,58.01
63.552,59.41
63.654,58.41
63.756,58.09
63.857,57.41
63.96,56.6
64.062,55.88
64.165,56.95
64.266,56.97
64.368,86.48
64.469,87.72
64.57,83.92
64.672,80.94
64.773,73.86
64.874,67.45
64.975,84.45
65.077,83.91
65.178,79.28
65.279,72.42
65.381,65.92
65.482,61.13
65.584,58.18
65.686,58.28
65.788,58.7
65.89,58.1
65.993,56.11
66.095,54.33
66.196,54.22
66.298,53.93
66.4,53.53
66.503,53.65
66.604,52.09
66.705,51.69
66.807,64.1
66.909,86.58
67.011,85.29
67.112,81.7
67.214,83.93
67.315,76.85
67.417,86.3
67.52,80.93
67.621,75.64
67.722,73.63
67.823,66.79
67.923,61.45
68.024,57.55
68.125,55.26
68.226,53.16
68.328,53.48
68.428,54.8
68.53,53.63
68.631,55.15
68.731,53.85
68.833,55.39
68.935,56.61
69.036,57.91
69.137,85.2
69.238,82.75
69.339,80.2
69.442,79.78
69.543,73.08
69.645,80.61
69.747,74.58
69.848,68.79
69.949,64.33
70.051,62.36
70.153,62.56
70.254,61.35
70.355,60.05
70.457,58.93
70.559,58.7
70.66,56.68
70.762,55.45
70.864,54.12
70.965,54.57
71.067,53.41
71.169,52.04
71.271,51.59
71.373,51.26
71.475,50.07
71.578,50.94
71.68,50.61
71.781,50.67
71.882,50.83
71.984,50.0
72.086,49.88
72.188,64.58
72.289,59.98
72.391,56.39
72.492,55.36
72.594,55.21
72.694,56.05
72.795,57.86
72.895,59.14
72.996,61.01
73.097,62.49
73.197,63.84
73.3,65.66
73.401,65.36
73.502,63.23
73.604,67.61
73.705,68.45
73.806,67.7
73.907,67.97
74.008,69.52
74.109,70.71
74.21,70.4
74.31,71.94
74.412,71.72
74.512,71.75
74.615,71.06
74.717,71.99
74.818,71.66
74.919,71.04
75.02,69.41
75.122,69.71
75.223,71.17
75.325,71.09
75.427,70.7
75.527,70.76
75.629,70.7
75.729,71.96
75.83,74.45
75.931,73.88
76.031,72.18
76.132,75.07
76.234,76.45
76.336,76.57
76.437,75.96
76.538,75.15
76.639,74.12
76.74,73.76
76.842,73.46
76.943,72.49
77.045,72.62
77.147,71.67
77.248,72.67
77.348,71.51
77.45,71.09
77.55,69.22
77.651,68.82
77.753,69.47
77.854,68.63
77.955,68.01
78.056,67.85
78.157,67.3
78.258,65.68
78.36,65.21
78.46,65.01
78.561,63.93
78.664,63.2
78.764,63.87
78.866,63.94
78.968,65.97
79.068,65.56
79.169,65.77
79.269,66.92
79.371,66.26
79.473,67.79
79.574,68.71
79.676,69.86
79.777,69.95
